make,model,start_year,end_year,bolt_pattern_cm,oem_tire_size,oem_wheel_size,plus_tire_size,plus_wheel_size
FORD,F-350 Dually,2005,2016,8X200,"245/75-17,32/9.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
TOYOTA,FJ Cruiser,2007,2014,6x139.7,"265/75-16,32/10.50-16,265/70-17,32/10.50-17,285/60-18,285/60-18,275/55-20,32/10.50-20,275/55-20,32/10.50-20,285/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","265/70-17,32/10.50-17,285/60-18,285/60-18,275/55-20,32/10.50-20,275/55-20,32/10.50-20,285/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
NISSAN,Frontier,1998,1999,6x139.7,"195/75-14,215/65-15","14x5,14x5.5,14x6,14x6.5,15x6,15x6.5,15x7,15x7.5","225/55-16,235/50-17","16x6,16x6.5,16x7,16x7.5,16x8,17x6.5,17x7,17x7.5,17x8,17x8.5"
NISSAN,Frontier,2000,2004,6x139.7,"225/70-15,265/70-15,215/65-16,255/65-16,265/70-16,31/10.50-16,235/55-17,275/60-17,255/60-17,265/65-17,30/10.50-17,265/55-17","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","215/65-16,255/65-16,265/70-16,31/10.50-16,235/55-17,275/60-17,255/60-17,265/65-17,30/10.50-17,265/55-17,275/55-18,255/55-18,235/50-18,265/60-18,30/10.50-18,285/50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
NISSAN,Frontier,2005,2016,6x114.3,"235/75-15,255/65-16,265/70-16,31/10.50-16,265/75-16,32/10.50-16,255/60-17,265/65-17,30/10.50-17,285/65-17,255/55-18,265/60-18,30/10.50-18,285/60-18","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","255/65-16,265/70-16,31/10.50-16,265/75-16,32/10.50-16,255/60-17,265/65-17,30/10.50-17,285/65-17,255/55-18,265/60-18,30/10.50-18,285/60-18,265/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
JEEP,Grand Cherokee,1999,2016,5x127,"225/75-16,29/8.50-16,245/70-16,30/9.50-16,245/65-17,30/9.50-17,235/65-17,245/70-17,31/9.50-17,255/55-18,245/60-18,265/60-18,30/10.50-18,255/50-20,265/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","255/55-18,245/60-18,265/60-18,30/10.50-18,255/50-20,265/50-20,265/40-22,275/40-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
JEEP,Grand Cherokee SRT8,2012,2016,5x127,295/45-20,"20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14",N/A,N/A
HUMMER,H2,2003,2010,8x165.1,"315/70-17,35/12.50-17,305/60-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9,20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","325/65-18,325/60-20,325/50-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
HUMMER,H3,2006,2010,6x139.7,"265/75-16,32/10.50-16,285/75-16,33/11.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9","285/65-17,285/70-17,33/11.50-17,285/60-18,285/65-18,285/50-20,275/45-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
HUMMER,H3T,2009,2010,6x139.7,"265/75-16,32/10.50-16,285/75-16,33/11.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9","285/70-17,33/11.50-17,285/65-18","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
HUMMER,H3X,2008,2010,6x139.7,"265/65-18,32/10.50-18","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","285/50-20,275/45-22","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14,22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
TOYOTA,Highlander,2002,2007,5x114.3,"225/70-16,225/65-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","255/60-17,255/55-18,255/45-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
TOYOTA,Highlander,2008,2016,5x114.3,"245/65-17,30/9.50-17,245/55-19","17x7, 17x7.5, 17x8, 17x8.5, 17x9","245/65-17,30/9.50-17,255/60-18,245/55-19,255/50-20,265/40-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
GMC,Jimmy 2WD,1995,2002,5x120.7,205/75-15,"15x5,15x5.5,15x6,15x6.5","255/55-16,255/50-17,255/45-18","16x7,16x7.5,16x8,16x8.5,16x9,17x7,17x7.5,17x8,17x8.5,17x9,18x8,18x8.5,18x9,18x9.5"
GMC,Jimmy 4WD,1995,2002,5x120.7,"235/70,15,235/75-15","15x6,15x6.5,15x7,15x7.5,15x8","245/70-16,30/9.50-16,255/60-17,255/55-18","16x7,16x7.5,16x8,16x8.5,16x9,17x7,17x7.5,17x8,17x8.5,17x9,18x8,18x8.5,18x9,18x9.5"
GMC,K1500,1988,1998,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,K-1500 6 Lug,1988,1998,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,K2500 6 Lug,1988,2000,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,K-2500 6 Lug,1988,2000,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,K2500 8 Lug,1988,2000,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,K-2500 8 Lug,1988,2000,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
GMC,K3500,1988,2000,8x165.1,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,K-3500 8 Lug,1988,2000,8x165.1,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
JEEP,Liberty,2002,2007,5x114.3,"215/75-16,225/75-16,29/8.50-16,235/70-16,29/9.50-16,235/65-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",255/55-18,"18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
JEEP,Liberty,2008,2012,5x114.3,"225/75-16,29/8.50-16,235/70-16,29/9.50-16,235/65-17,235/60-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","235/65-17,235/60-18,245/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
JEEP,Liberty Limited,2012,2012,5x114.3,245/50-20,"20x7,20x7.5,20x8,20x8.5",N/A,N/A
JEEP,Liberty Renegade,2011,2011,5x114.3,"235/70-16,29/9.50-16","16x6,16x6.5,16x7,16x7.5,16x8","235/65-17,235/60-18","17x6.5,17x7,17x7.5,17x8,17x8.5,18x6.5,18x7,18x7.5,18x8,18x8.5"
JEEP,Patriot Limited,2007,2016,5x114.3,"215/60-17,215/65-17","17x6,17x6.5,17x7,17x7.5",225/55-18,"18x6,18x6.5,18x7,18x7.5,18x8"
JEEP,Patriot Sport,2007,2016,5x114.3,"205/70-16,215/65-17","16x6,16x6.5,16x7,16x7.5,17x6,17x6.5,17x7,17x7.5",225/55-18,"18x6,18x6.5,18x7,18x7.5,18x8"
JEEP,Prospector,2008,2012,5x114.3,"225/75-16,29/8.50-16,235/70-16,29/9.50-16","16x6,16x6.5,16x7,16x7.5","235/65-17,255/55-18","17x6.5,17x7,17x7.5,17x8,17x8.5,18x6.5,18x7,18x7.5,18x8,18x8.5"
DODGE,Ram 1500,1994,1999,,,,,
DODGE,Ram 1500,1994,2001,5x139.7,"265/75-16,32/10.50-16,285/65-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","285/60-18,285/50-20,285/45-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
DODGE,Ram 1500,2000,2001,,,,,
DODGE,Ram 1500,2002,2005,,,,,
DODGE,Ram 1500,2002,2006,5x139.7,"265/70-17,32/10.50-17,285/60-18,275/55-20,32/10.50-20,305/40-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16",305/35-24,"24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
DODGE,Ram 1500,2006,2008,5x139.7,"245/70-17,31/9.50-17,265/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","275/60-18,285/40-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
DODGE,Ram 1500,2006,2011,,,,,
DODGE,Ram 1500,2009,2011,,,,,
DODGE,Ram 1500,2009,2012,,,,,
DODGE,Ram 1500,2012,2012,,,,,
DODGE,Ram 1500,2006,2015,,,,,
DODGE,Ram 1500,2009,2016,5x139.7,"265/70-17,32/10.50-17,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/60-18,285/45-22,295/40-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
DODGE,Ram 1500,2009,2017,,,,,
DODGE,Ram 1500,2012,2017,,,,,
DODGE,Ram 1500,2013,2017,,,,,
DODGE,Ram 1500,2014,2017,,,,,
DODGE,Ram 1500 Mega Cab,2006,2008,8x165.1,"265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
DODGE,Ram 2500,1994,1997,8x165.1,"225/75-16,29/8.50-16,245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
DODGE,Ram 2500,1998,1999,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
DODGE,Ram 2500,2000,2002,8x165.1,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
DODGE,Ram 2500,2003,2005,8x165.1,"245/70-17,31/9.50-17,265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
DODGE,Ram 2500,1994,2013,,,,,
DODGE,Ram 2500,2014,2015,,,,,
DODGE,Ram 2500,2006,2016,8x165.1,"245/70-17,31/9.50-17,265/70-17,32/10.50-17,285/70-17,33/11.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
DODGE,Ram 2500,2014,2017,,,,,
DODGE,Ram 3500,2003,2004,8x165.1,"245/70-17,31/9.50-17,265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
DODGE,Ram 3500,1994,2012,,,,,
DODGE,Ram 3500,2005,2016,8x165.1,"265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
DODGE,Ram 3500,2013,2017,,,,,
DODGE,Ram 3500 Dually,2000,2002,8x165.1,"235/85-16,32/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
DODGE,Ram 3500 Dually,2003,2016,8x165.1,235/80-17,"17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
FORD,Ranger 4WD,1991,2009,5x114.3,"235/75-15,245/70-16,30/9.50-16,255/70-16","15x6.5,15x7,15x7.5,15x8,16x6.5,16x7,16x7.5,16x8,16x8.5","265/65-17,30/10.50-17,265/60-18,30/10.50-18","17x7.5,17x8,17x8.5,17x9,17x9.5,18x7,18x7.5,18x8,18x8.5,18x9,18x9.5"
FORD,Ranger XLT Super Cab,2006,2011,5x114.3,255/70-16,"16x6.5,16x7,16x7.5,16x8,16x8.5","265/65-17,30/10.50-17,265/60-18,30/10.50-18","17x7.5,17x8,17x8.5,17x9,17x9.5,18x7,18x7.5,18x8,18x8.5,18x9,18x9.5"
GMC,Sierra 1500,1999,2006,6x139.7,"235/75-16,255/70-16,245/70-17,31/9.50-17,265/50-20,265/70-17,32/10.50-17,275/55-20,32/10.50-20,285/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","245/70-17,31/9.50-17,265/60-18,30/10.50-18,265/50-20,285/40-22,265/70-17,32/10.50-17,275/55-20,32/10.50-20,285/60-18,285/50-20,305/40-22,305/35-24","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Sierra 1500,2007,2016,6x139.7,"265/70-17,32/10.50-17,245/70-17,31/9.50-17,255/70-17,285/60-18,265/60-18,30/10.50-18,265/65-18,32/10.50-18,275/60-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/50-20,265/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/60-18,265/60-18,30/10.50-18,265/65-18,32/10.50-18,275/60-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/50-20,265/50-20,285/45-22,285/40-22,295/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Sierra 1500 Denali,2007,2016,6x139.7,"285/65-18,275/55-20,32/10.50-20","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10,20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16,24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Sierra 2500,2001,2010,8x165.1,"245/75-16,31/9.50-16,265/70-17,32/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
GMC,Sierra 2500,2011,2016,8x180,"245/75-17,32/9.50-17,265/70-17,32/10.50-17,265/70-18,265/60-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14",N/A,N/A
GMC,Sierra 3500,1999,2010,8x165.1,"215/85-16,265/75-16,32/10.50-16,265/70-17,32/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
GMC,Sierra 3500,2011,2016,8x180,"265/70-18,265/60-20","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14",265/60-20,"20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
GMC,Sierra 3500 Dually,2001,2010,8x165.1,"215/85-16,225/75-16,29/8.50-16,225/75-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
GMC,Sierra 3500 Dually,2011,2016,8x210,235/80-17,"17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
CHEVROLET,Silverado 1500,1999,2006,6x139.7,"265/75-16,32/10.50-16,265/70-17,32/10.50-17","16x6,16x6.5,16x7,16x7.5,16x8,16x8.5,16x9,17x7,17x7.5,17x8,17x8.5,17x9","285/60-18,285/50-20,305/40-22,305/35-24","18x7,18x7.5,18x8,18x8.5,18x9,18x9.5,18x10,20x8,20x8.5,20x9,20x9.5,20x10,20x10.5,20x11,20x12,20x14,22x9,22x9.5,22x10,22x10.5,22x11,22x12,22x14,22x16,24x10,24x10.5,24x11,24x12,24x14,24x16"
CHEVROLET,Silverado 1500,2007,2013,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Silverado 1500,2014,2016,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,275/55-20,32/10.50-20","17x7,17x7.5,17x8,17x8.5,17x9,18x8,18x8.5,18x9,18x9.5,18x10,20x7.5,20x8,20x8.5,20x9,20x9.5","285/45-22, 295/35-24","22x9,22x9.5,22x10,22x10.5,22x11,24x10,24x10.5,24x11,24x11.5"
CHEVROLET,Silverado 1500 Highcountry,2014,2016,6x139.7,"275/55-20,32/10.50-20","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/45-22, 295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
