make,model,start_year,end_year,bolt_pattern_cm,oem_tire_size,oem_wheel_size,plus_tire_size,plus_wheel_size
CHEVROLET,Silverado 2500,1999,2010,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,Silverado 2500,2011,2016,8x180,"245/75-17,32/9.50-17,265/70-17,32/10.50-17,265/70-18,265/60-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14",N/A,N/A
CHEVROLET,Silverado 3500,1999,2010,8x165.1,"215/85-16,245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,Silverado 3500,2011,2016,8x180,265/70-18,"18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10",N/A,N/A
CHEVROLET,Silverado Dually-3500,2000,2010,8x165.1,"215/85-16,225/75-16,29/8.50-16,225/75-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
CHEVROLET,Silverado Dually-3500,2011,2016,8x210,235/80-17,"17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
CHEVROLET,Silverado Hybrid,2009,2013,6x139.7,"265/65-18,32/10.50-18","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","275/55-20,32/10.50-20","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,SSR,2004,2006,6x127,"255/45-19,295/40-20","19x8,19x8.5,19x9,19x9.5,20x9.5,20x10,20x10.5,20x11",N/A,N/A
CHEVROLET,Suburban 1500,2000,2006,6x139.7,"245/75-16,31/9.50-16,265/70-16,31/10.50-16,265/70-17,32/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","285/60-18,285/50-20,305/40-22,305/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Suburban 1500,2007,2014,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Suburban 1500,2015,2016,6x139.7,"265/65-18,32/10.50-18,275/55-20,32/10.50-20,285/45-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16",295/35-24,"24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Suburban 2500,1989,1991,8x165.1,"235/85-16,32/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,Suburban 2500,1992,2011,8x165.1,"245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,Suburban 2500,2012,2013,8x165.1,"265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
CHEVROLET,Suburban C1500,1988,1999,5x127,235/75-15,"15x6.5, 15x7, 15x7.5, 15x8","235/75-15,235/70-16,29/9.50-16,255/60-17,255/55-18,265/45-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,Suburban K1500,1988,1999,6x139.7,"225/75-16,29/8.50-16,245/75-16,31/9.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
TOYOTA,Tacoma 2WD,1995,2000,5x114.3,"195/75-14,215/70-14","14x5.5,14x6,14x6.5,14x7","215/65-15,225/55-16,225/50-17,235/40-18","15x6,15x6.5,15x7,15x7.5,16x6,16x6.5,16x7,16x7.5,16x8,17x6,17x6.5,17x7,17x7.5,17x8,18x8,18x8.5,18x9,18x9.5"
TOYOTA,Tacoma 2WD,2001,2004,5x114.3,"205/75-15,235/55-16","15x5,15x5.5,15x6,15x6.5,16x6.5,16x7,16x7.5,16x8,16x8.5","235/55-17,235/50-18","17x6.5,17x7,17x7.5,17x8,17x8.5,18x6.5,18x7,18x7.5,18x8,18x8.5"
TOYOTA,Tacoma 2WD,2005,2016,6x139.7,"215/70,15","15x6.5, 15x7, 15x7.5, 15x8","215/65-16,235/55-17,235/50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
TOYOTA,Tacoma 4WD,2005,2016,6x139.7,"245/75-16,31/9.50-16,265/70-16,31/10.50-16,265/65-17,30/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","265/60-18,30/10.50-18,265/50-20","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
TOYOTA,Tacoma Pre Runner,2001,2004,6x139.7,"265/70-16,31/10.50-16","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9","285/60-17,285/55-18","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
TOYOTA,Tacoma Pre Runner,2005,2016,6x139.7,"245/75-16,31/9.50-16,265/70-16,31/10.50-16,265/65-17,30/10.50-17,265/60-18,30/10.50-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","265/60-18,30/10.50-18,265/50-20","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
TOYOTA,Tacoma X-Runner,2005,2013,5x114.3,255/45-18,"18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10",255/40-19,"20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,Tahoe,2000,2006,6x139.7,"245/75-16,31/9.50-16,265/70-16,31/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9","285/60-17,285/60-18,285/50-20,285/40-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
CHEVROLET,Tahoe,2007,2012,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Tahoe,2013,2014,6x139.7,"265/70-17,32/10.50-17,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","265/65-18,32/10.50-18,285/45-22,295/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Tahoe,2015,2016,6x139.7,"265/65-18,32/10.50-18,275/55-20,32/10.50-20,285/45-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16",295/35-24,"24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
CHEVROLET,Tahoe 2WD,1995,1999,5x127,235/75-15,"15x6.5, 15x7, 15x7.5, 15x8","235/75-15,235/70-16,29/9.50-16,255/60-17,255/55-18,265/45-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
CHEVROLET,Tahoe 4WD,1995,1999,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9",N/A,N/A
CHEVROLET,Tahoe Hybrid,2008,2013,6x139.7,"265/65-18,32/10.50-18","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","275/55-20,32/10.50-20,285/45-22,295/35-24","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
NISSAN,Titan,2004,2015,6x139.7,"245/75-17,32/9.50-17,285/70-17,33/11.50-17,285/60-18,265/70-18,265/70-18,285/65-18,285/50-20,275/60-20,33/10.50-20,285/55-20,33/11.50-20,285/60-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","285/60-18,265/70-18,265/70-18,285/65-18,285/50-20,275/60-20,33/10.50-20,285/55-20,33/11.50-20,285/60-20,285/45-22,305/45-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
TOYOTA,Tundra,2000,2006,6x139.7,"265/70-16,31/10.50-16,245/70-16,30/9.50-16,275/60-17,265/65-17,30/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","275/60-17,265/65-17,30/10.50-17,275/60-18,255/60-18,275/45-20,265/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
TOYOTA,Tundra,2007,2016,5x150,"285/70-17,33/11.50-17,255/70-18,275/65-18,32/11.00-18,285/65-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14","255/70-18,275/65-18,32/11.00-18,285/65-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/45-22,285/50-22","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16"
JEEP,Wrangler,1987,2006,5x114.3,"215/75-15,225/75-15,205/75-15,225/70-16,245/75-16,31/9.50-16","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9","225/70-16,245/75-16,31/9.50-16,255/55-17,215/65-16,235/55-17,235/50-18,255/55-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
JEEP,Wrangler,2007,2016,5x127,"225/75-16,29/8.50-16,245/75-16,31/9.50-16,245/65-17,30/9.50-17,255/70-17,255/75-17,245/60-18,255/70-18,255/65-18,275/65-18,32/11.00-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10","245/65-17,30/9.50-17,255/70-17,255/75-17,245/60-18,255/70-18,255/65-18,275/65-18,32/11.00-18,275/55-20,32/10.50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
NISSAN,Xterra,2000,2000,6x139.7,"265/70-15,235/70-15,265/70-16,31/10.50-16,235/65-16,255/65-16,265/65-17,30/10.50-17,235/60-17,255/60-17","15x6.5, 15x7, 15x7.5, 15x8, 16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","265/70-16,31/10.50-16,235/65-16,255/65-16,265/65-17,30/10.50-17,235/60-17,255/60-17,265/60-18,30/10.50-18,255/55-18,275/60-18,265/45-20,285/50-20","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
NISSAN,Xterra,2005,2016,6x114.3,"265/75-16,32/10.50-16,265/70-16,31/10.50-16,265/70-17,32/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","265/70-17,32/10.50-17,285/60-18,275/60-18,285/50-20","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14"
GMC,Yukon,1992,1999,5x127,235/75-15,"15x6.5, 15x7, 15x7.5, 15x8","235/70-16,29/9.50-16,255/60-17,255/55-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
GMC,Yukon,2000,2006,6x139.7,"265/70-16,31/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","285/60-17,265/60-18,30/10.50-18,265/50-20,285/40-22,285/30-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon,2007,2016,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,285/60-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/45-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","265/65-18,32/10.50-18,285/60-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/45-22,295/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon Denali,1992,2006,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16,265/70-17,32/10.50-17,285/60-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","265/70-17,32/10.50-17,285/60-17,285/60-18,285/50-20,305/40-22,305/35-24","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon Denali,2007,2016,6x139.7,"275/55-20,32/10.50-20,285/45-22","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon XL,1992,1999,5x127,235/75-15,"15x6.5, 15x7, 15x7.5, 15x8","235/70-16,29/9.50-16,255/60-17,255/55-18","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10"
GMC,Yukon XL,2000,2006,6x139.7,"265/70-16,31/10.50-16","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","285/60-17,265/60-18,30/10.50-18,265/50-20,285/40-22,285/30-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon XL,2007,2016,6x139.7,"265/70-17,32/10.50-17,265/65-18,32/10.50-18,285/60-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/45-22","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","265/65-18,32/10.50-18,285/60-18,275/55-20,32/10.50-20,285/55-20,33/11.50-20,285/45-22,295/35-24","18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon XL 2500,2000,2010,8x165.1,"245/75-16,31/9.50-16,265/70-17,32/10.50-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
GMC,Yukon XL 2500,2011,2013,8x165.1,"265/70-17,32/10.50-17","17x7, 17x7.5, 17x8, 17x8.5, 17x9",N/A,N/A
GMC,Yukon XL Denali,1992,2006,6x139.7,"245/75-16,31/9.50-16,265/75-16,32/10.50-16,265/70-17,32/10.50-17,285/60-17","16x6, 16x6.5, 16x7, 16x7.5, 16x8, 16x8.5, 16x9, 17x7, 17x7.5, 17x8, 17x8.5, 17x9","265/70-17,32/10.50-17,285/60-17,285/60-18,285/50-20,305/40-22,305/35-24","17x7, 17x7.5, 17x8, 17x8.5, 17x9, 18x7, 18x7.5, 18x8, 18x8.5, 18x9, 18x9.5, 18x10, 20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
GMC,Yukon XL Denali,2007,2016,6x139.7,"275/55-20,32/10.50-20,285/45-22","20x8, 20x8.5, 20x9, 20x9.5, 20x10, 20x10.5, 20x11, 20x12, 20x14, 22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16","285/45-22,295/35-24","22x9, 22x9.5, 22x10, 22x10.5, 22x11, 22x12, 22x14, 22x16, 24x10, 24x10.5, 24x11, 24x12, 24x14, 24x16"
